,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree (misd/fel),compas_decile_score,two_year_recid
48,1,0,34,0,0,0,374,0,2,1
49,2,1,48,0,0,0,45,0,5,0
50,1,0,70,0,0,11,306,1,1,1
51,2,0,46,1,0,9,190,1,9,1
52,2,0,22,0,0,1,190,1,3,1
53,2,0,22,0,0,0,246,1,8,0
54,1,0,39,6,1,17,306,1,7,1
55,2,0,51,1,0,19,175,1,9,0
56,1,0,49,0,0,12,283,0,5,0
57,2,1,24,0,0,0,45,0,2,0
58,2,0,28,0,0,0,134,0,1,0
59,2,0,31,0,0,3,425,0,8,1
60,1,0,58,0,0,0,132,0,1,0
61,1,1,24,0,0,0,45,0,5,1
62,2,0,22,0,0,0,289,1,4,0
63,1,0,30,0,0,4,159,1,2,0
64,2,0,58,0,0,10,306,1,3,1
65,2,0,32,0,0,0,306,1,1,1
66,2,0,27,0,0,13,246,1,10,1
67,1,0,40,0,0,1,222,1,2,0
68,1,1,26,0,0,0,128,0,2,0
69,1,0,31,0,0,0,169,1,1,0
70,2,0,25,0,1,10,112,1,10,1
71,2,0,26,0,0,4,344,1,4,1
72,2,0,33,0,0,1,169,1,2,0
73,2,0,29,0,0,5,253,1,5,1
74,1,1,22,0,0,1,246,1,3,0
75,2,0,20,0,0,0,190,1,3,0
76,1,0,72,0,0,7,344,1,4,0
77,1,0,37,0,0,2,209,1,2,0
78,1,0,34,0,0,4,303,1,6,1
79,3,0,24,0,0,2,212,1,3,0
80,1,1,46,0,0,1,167,1,2,0
81,1,0,55,0,0,0,45,0,1,1
82,2,0,40,0,0,20,129,1,7,0
83,2,0,50,0,0,0,306,1,1,0
84,1,0,28,0,0,0,86,1,2,0
85,4,0,48,0,0,0,15,1,2,0
86,2,1,37,0,0,3,336,1,7,0
87,2,0,51,0,0,3,172,1,7,0
88,2,0,38,0,0,0,145,0,8,1
89,1,0,28,0,0,2,377,1,2,1
90,1,0,45,0,0,8,423,0,4,1
91,1,1,58,0,0,1,134,0,2,0
92,2,0,44,0,0,1,333,0,3,0
93,2,0,24,0,0,1,246,1,3,0
94,2,0,30,0,0,4,45,0,4,1
95,1,0,29,0,0,0,18,1,8,0
96,1,0,44,0,0,1,45,0,1,0
97,2,0,27,0,0,5,142,0,3,1
98,2,0,54,0,0,0,45,0,1,1
99,2,0,31,0,0,0,45,0,4,0
100,3,0,26,0,0,2,45,0,1,0
101,1,0,28,0,0,0,45,0,1,0
102,2,1,21,0,0,0,190,1,5,0
103,2,0,51,0,0,0,306,1,2,1
104,2,1,36,0,0,1,45,0,1,0
105,2,0,48,0,0,11,337,0,4,1
106,2,0,33,0,0,2,10,1,8,1
107,3,0,59,0,0,0,133,0,1,0
108,3,0,28,0,0,0,45,0,2,1
109,1,0,24,0,0,0,375,1,5,1
110,1,1,43,0,0,0,186,0,2,0
111,1,0,25,0,0,3,280,1,7,0
112,1,0,22,0,0,1,190,1,2,0
113,2,0,35,0,0,9,303,1,6,0
114,2,0,24,0,0,2,45,0,5,1
115,2,0,54,0,0,0,368,0,1,0
116,2,0,54,0,0,4,306,1,3,1
117,1,0,22,0,0,0,306,1,5,0
118,1,0,20,0,0,0,187,1,6,1
119,1,0,38,0,0,1,90,1,1,1
120,1,0,41,0,0,0,306,1,2,0
121,1,0,46,0,0,0,127,0,1,0
122,1,0,38,0,0,2,311,1,3,0
123,2,0,30,0,0,0,319,1,2,1
124,2,1,24,0,0,3,244,0,6,1
125,1,0,29,0,0,3,306,1,4,1
126,3,1,26,0,0,1,130,0,4,0
127,3,0,25,0,0,0,246,1,2,1
128,1,0,52,0,0,7,45,0,2,0
129,2,0,32,0,0,1,132,0,4,1
130,3,0,33,0,0,3,127,0,2,0
131,2,0,29,0,0,0,15,1,1,0
132,4,0,24,0,0,0,404,1,3,0
133,2,0,24,0,0,0,128,0,2,1
134,2,0,24,0,0,1,169,1,3,1
135,1,0,66,0,0,0,45,0,1,0
136,2,0,37,0,0,0,169,1,1,1
137,1,0,64,0,0,8,129,1,1,0
138,1,0,36,1,0,10,45,0,9,1
139,1,0,51,0,0,2,190,1,1,1
140,1,1,21,0,0,0,306,1,6,0
141,2,1,23,0,0,1,58,1,4,1
142,2,1,26,0,0,0,144,0,2,0
143,2,0,35,0,0,12,45,0,6,1
144,2,1,28,0,0,2,297,1,5,1
145,2,0,32,0,0,1,159,1,2,0
146,2,1,53,0,0,0,172,1,1,0
147,1,0,39,0,0,8,15,1,1,0
148,1,0,24,0,2,3,129,1,4,1
149,2,0,32,0,0,3,186,1,4,0
150,2,1,49,0,0,14,45,0,7,1
151,1,0,33,0,0,0,336,1,1,0
152,1,0,20,0,4,4,186,1,10,0
153,2,0,27,0,0,1,21,1,4,1
154,2,0,50,0,0,3,45,0,3,0
155,2,0,28,0,0,4,45,0,2,1
156,2,0,24,0,0,7,21,1,8,1
157,1,0,32,0,0,1,64,1,3,0
158,2,0,32,0,0,0,303,0,4,0
159,1,0,21,0,0,1,49,1,4,0
160,2,0,26,0,0,5,186,1,7,1
161,1,1,49,0,0,2,186,1,6,0
162,2,0,46,0,0,0,246,1,7,1
163,1,1,25,0,0,0,128,0,4,0
164,3,0,44,0,0,0,45,0,1,0
165,2,0,27,2,0,14,159,1,10,1
166,1,0,28,0,0,14,246,1,9,0
167,1,0,35,0,0,3,306,1,4,0
168,1,0,74,0,0,0,219,0,1,0
169,1,0,62,0,0,0,31,0,1,0
170,3,0,28,0,0,2,204,1,3,1
171,3,0,28,0,0,2,190,1,8,0
172,1,0,25,0,0,2,55,1,4,0
173,2,0,26,0,0,5,11,1,8,1
174,1,0,38,0,0,0,297,1,1,0
175,2,0,29,0,0,1,374,0,1,0
176,2,1,46,0,0,2,190,1,10,1
177,2,1,41,0,0,0,45,0,1,0
178,1,1,29,0,0,20,129,1,10,1
179,2,0,32,0,0,0,21,1,7,0
180,2,1,22,0,0,0,45,0,5,1
181,2,0,22,0,0,0,280,1,7,1
182,2,0,26,0,0,5,129,1,4,0
183,2,0,30,0,0,1,15,1,2,0
184,2,0,19,0,2,3,190,1,4,1
185,1,0,40,0,0,4,190,1,5,1
186,1,0,65,0,0,0,134,0,1,0
187,3,1,41,0,0,0,190,1,1,0
188,2,0,27,0,0,4,246,1,9,1
189,2,1,31,0,0,2,21,1,5,1
190,2,1,45,0,0,1,129,1,1,0
191,2,0,28,0,0,3,242,0,2,1
192,1,1,48,0,0,1,133,0,1,0
193,2,0,32,0,0,4,36,1,8,1
194,2,0,24,0,0,0,280,1,4,0
195,2,0,36,1,2,14,306,1,10,1
196,3,0,43,0,0,3,45,0,3,1
197,2,0,29,0,0,2,242,0,4,0
198,3,1,32,0,0,8,326,0,5,1
199,2,0,28,0,0,1,186,1,6,0
200,2,0,43,0,0,3,172,1,1,1
201,2,0,26,0,0,6,303,1,9,1
202,2,0,36,0,0,4,306,1,4,0
203,2,0,22,0,0,0,252,1,8,1
204,2,1,26,0,0,1,252,1,4,1
205,2,0,36,0,1,4,45,0,5,0
206,2,0,31,0,0,11,186,1,7,1
207,2,0,26,0,0,9,126,1,8,1
208,3,0,28,0,0,11,45,0,7,0
209,1,0,27,0,0,1,100,1,1,0
210,1,0,30,0,0,22,306,1,5,1
211,2,0,25,0,0,8,190,1,6,1
212,1,0,26,0,0,5,382,1,5,1
213,2,0,23,0,0,2,280,1,8,1
214,2,0,26,0,0,5,61,1,7,1
215,1,0,26,0,0,0,93,0,2,0
216,2,0,44,0,0,0,317,1,2,1
217,1,0,45,0,0,3,45,0,3,1
218,2,0,28,0,0,1,56,1,1,0
219,2,1,38,0,0,0,151,0,2,0
220,2,0,30,0,1,7,285,1,5,1
221,1,0,45,0,0,1,342,1,5,1
222,2,0,26,0,0,8,85,1,7,1
223,2,0,61,0,0,20,374,0,2,1
224,1,0,23,0,0,0,45,0,5,0
225,1,0,58,0,0,5,283,0,2,0
226,2,0,20,0,0,1,21,0,9,1
227,1,1,47,0,0,0,45,0,1,0
228,1,1,53,0,0,6,306,1,5,1
229,2,0,36,0,0,6,45,0,4,0
230,2,0,29,0,1,8,45,0,9,1
231,2,1,23,0,0,0,10,1,7,0
232,1,0,27,0,0,2,278,1,7,1
233,1,0,19,0,0,0,45,0,6,1
234,2,0,27,0,0,4,268,1,4,1
235,2,1,20,0,0,1,175,1,8,1
236,1,0,67,0,0,0,97,1,1,0
237,1,1,25,0,0,0,1,1,6,0
238,1,0,40,0,0,1,42,1,1,0
239,2,0,20,0,0,0,71,1,3,0
240,3,0,45,0,0,0,186,1,1,0
241,2,1,64,0,0,1,337,0,1,1
242,1,0,43,0,0,0,134,0,4,0
243,2,0,35,0,0,10,426,0,8,1
244,2,0,42,0,0,0,283,0,7,0
245,2,0,33,0,0,5,172,1,4,0
246,2,0,24,0,0,1,45,0,6,0
247,2,0,22,0,0,0,190,1,4,1
248,1,1,25,0,0,2,140,1,10,0
249,2,0,21,0,0,2,190,1,4,0
250,1,0,46,0,0,0,190,1,5,0
251,1,0,25,0,0,0,134,0,2,0
252,2,0,31,0,2,8,45,0,10,1
253,2,0,55,0,0,0,45,0,8,1
254,3,0,31,0,0,0,134,0,1,0
255,2,0,30,0,0,21,129,1,7,1
256,2,0,53,0,0,5,49,1,4,0
257,1,0,21,0,2,2,315,1,9,1
258,1,0,31,0,0,3,313,1,4,1
259,3,0,45,0,0,1,283,0,1,0
260,2,1,50,0,0,0,45,0,1,0
261,2,1,43,0,0,2,426,0,2,0
262,2,1,28,0,0,0,171,1,10,1
263,1,0,26,0,0,3,45,0,10,0
264,2,0,35,0,0,0,319,1,4,0
265,1,0,36,0,0,0,159,1,1,0
266,1,0,52,0,0,0,45,0,1,0
267,1,1,29,0,1,10,190,1,4,1
268,1,0,80,0,0,0,45,0,1,0
269,1,1,64,0,0,0,45,0,1,0
270,2,0,30,0,0,1,45,0,2,0
271,2,0,38,0,0,0,45,0,2,0
272,2,0,32,0,3,10,358,1,6,1
273,1,0,28,0,0,5,45,0,7,1
274,2,1,29,0,0,9,250,1,7,1
275,1,0,22,0,0,1,253,1,6,0
276,1,0,27,0,0,18,175,1,9,1
277,2,1,31,0,0,0,319,1,3,1
278,1,0,38,0,0,5,176,0,5,1
279,1,0,29,0,0,2,169,1,2,0
280,1,0,26,0,0,5,31,0,5,0
281,1,0,28,0,0,1,268,1,4,1
282,1,0,48,0,0,0,306,1,2,0
283,2,0,36,0,0,2,129,1,1,1
284,2,0,22,0,0,2,423,0,9,1
285,2,0,38,0,0,15,16,1,6,0
286,1,0,29,0,0,1,306,1,3,0
287,3,0,23,0,1,2,190,1,9,0
288,2,1,38,0,0,7,190,1,10,1
289,1,0,22,0,0,2,283,0,6,1
290,2,1,55,0,0,1,246,1,1,0
291,2,0,25,0,0,0,271,1,2,0
292,3,0,47,0,0,3,127,0,6,1
293,2,0,40,0,0,0,306,1,10,1
294,2,0,29,0,0,0,134,0,1,1
295,2,0,31,2,1,16,190,1,9,1
296,3,0,45,0,0,1,426,0,8,0
297,1,0,29,0,0,1,45,0,3,0
298,1,0,52,0,0,0,128,0,1,0
299,2,0,26,0,1,13,129,1,8,1
300,1,0,30,0,0,0,134,0,3,0
301,1,1,19,0,0,0,170,1,3,1
302,1,0,50,0,0,4,123,0,2,0
303,2,0,23,0,0,2,423,0,9,1
304,2,1,35,0,0,0,45,0,4,0
305,2,1,25,0,0,2,49,1,8,1
306,1,0,51,0,0,1,45,0,2,0
307,2,1,23,0,0,1,268,1,5,1
308,2,1,35,0,0,0,306,1,3,1
309,1,0,29,0,0,1,206,0,10,0
310,1,0,44,0,0,1,306,1,8,0
311,2,0,29,0,0,10,169,1,9,1
312,2,0,41,0,0,3,172,1,4,1
313,1,1,25,0,0,2,408,0,3,1
314,1,0,50,0,0,0,134,0,1,0
315,2,1,28,0,0,13,21,1,9,1
316,1,0,28,0,0,1,163,1,2,1
317,2,0,31,0,0,19,129,1,9,1
318,1,1,34,0,0,1,45,0,1,0
319,3,0,25,0,0,6,45,0,7,1
320,2,0,26,1,1,10,18,1,9,1
321,2,0,41,0,0,8,129,1,2,1
322,1,0,28,0,0,1,306,1,7,1
323,1,0,47,0,0,0,45,0,1,0
324,1,0,20,0,0,0,190,1,5,1
325,2,0,27,0,0,6,175,1,4,1
326,1,0,53,0,0,0,45,0,1,0
327,2,1,30,0,0,2,190,1,7,0
328,3,0,41,0,0,1,128,0,1,0
329,2,1,19,0,0,1,65,1,9,1
330,2,0,26,0,0,2,409,0,2,0
331,1,0,46,0,0,2,283,0,4,0
332,2,0,40,0,0,6,306,1,7,0
333,1,0,50,0,0,26,306,1,7,1
334,3,0,29,0,0,7,129,1,9,1
335,1,0,28,0,0,0,45,0,3,0
336,1,1,66,0,0,1,402,0,1,0
337,2,1,49,0,0,1,172,1,1,0
338,1,0,38,0,0,0,169,1,1,0
339,2,0,24,0,0,2,163,1,3,1
340,2,0,19,2,1,3,71,1,10,1
341,2,0,27,0,0,1,65,0,5,0
342,1,0,38,0,0,0,374,0,2,0
343,2,0,49,0,0,1,45,0,1,1
344,2,0,28,0,0,0,246,1,2,0
345,1,0,31,0,0,10,283,0,8,0
346,2,0,25,0,0,5,45,0,8,1
347,1,1,31,0,0,1,45,0,1,1
348,2,0,25,0,0,4,239,0,5,0
349,1,0,42,0,0,2,110,1,7,1
350,1,0,23,0,0,6,297,1,9,1
351,2,0,25,0,0,3,129,1,6,1
352,2,0,23,0,0,4,251,1,10,1
353,1,0,39,0,0,0,423,0,1,0
354,1,1,57,0,0,0,122,0,4,0
355,2,0,53,0,0,15,172,1,1,1
356,2,0,32,0,0,1,172,1,4,0
357,1,0,28,0,0,5,129,1,5,0
358,2,0,66,0,0,33,90,1,6,1
359,2,1,28,0,0,4,280,1,4,0
360,1,0,52,0,0,3,45,0,9,0
361,2,0,33,0,0,7,190,1,6,1
362,2,0,22,0,0,0,92,1,8,1
363,2,1,26,0,0,0,342,0,9,0
364,2,0,21,0,0,0,58,1,3,1
365,1,0,43,0,0,4,61,1,5,1
366,1,1,65,0,0,1,15,1,1,0
367,1,0,27,0,0,0,246,1,5,0
368,1,1,28,0,0,5,306,1,9,1
369,1,0,55,0,0,0,133,0,1,0
370,2,0,28,0,0,6,337,0,6,1
371,3,0,31,0,0,1,21,1,8,1
372,3,0,26,0,0,7,15,1,5,1
373,2,0,39,0,0,0,274,1,4,1
374,1,0,25,0,0,1,45,0,4,1
375,1,0,24,0,0,1,246,1,3,1
376,2,0,27,0,0,21,268,1,7,1
377,2,0,24,0,0,4,306,1,10,1
378,2,0,33,0,0,6,246,1,6,0
379,2,0,53,0,0,3,18,1,6,1
380,1,0,25,0,0,2,128,0,4,1
381,1,1,31,0,0,0,186,1,4,1
382,2,0,25,0,0,0,277,1,8,1
383,1,0,31,0,0,0,107,1,4,0
384,1,0,22,1,0,6,306,1,10,1
385,1,0,21,0,0,0,45,0,4,1
386,2,0,32,0,0,4,65,1,4,1
387,2,0,24,0,0,1,328,0,9,1
388,2,0,30,0,0,8,283,0,10,1
389,3,0,24,0,0,0,57,1,2,0
390,1,0,44,0,0,8,45,0,5,1
391,1,0,20,0,0,1,192,1,2,1
392,2,0,25,0,0,0,273,1,3,0
393,3,0,37,0,0,0,377,1,3,1
394,2,0,29,0,0,3,283,0,1,0
395,2,0,42,0,0,7,169,1,5,1
396,3,0,42,0,0,1,128,0,1,0
397,2,0,43,0,0,0,45,0,1,0
398,1,0,22,0,0,0,6,1,3,0
399,1,0,54,0,0,1,45,0,1,1
400,2,0,43,0,0,15,337,0,9,1
401,2,0,33,0,0,1,45,0,1,1
402,1,1,29,0,0,0,45,0,6,0
403,1,0,38,0,0,1,45,0,6,0
404,3,0,29,0,0,1,6,1,1,0
405,1,0,47,0,0,3,242,0,5,0
406,2,0,25,0,0,0,45,0,5,1
407,2,0,23,0,0,1,190,1,6,0
408,2,0,22,0,0,2,297,1,4,1
409,2,0,28,0,8,12,306,1,10,1
410,1,0,54,0,0,3,239,0,1,1
411,2,0,34,0,0,4,283,0,6,0
412,2,0,41,0,0,19,104,1,5,1
413,2,0,33,0,0,3,336,0,6,1
414,1,0,26,0,0,3,374,0,2,1
415,2,0,58,0,0,0,169,1,1,0
416,2,1,24,0,0,1,45,0,5,1
417,1,0,18,5,0,4,58,1,8,1
418,2,1,22,0,0,4,306,1,9,1
419,2,1,25,0,0,7,170,1,9,1
420,2,1,39,0,0,3,418,1,5,1
421,2,0,30,0,1,19,306,1,10,1
422,1,0,24,1,2,3,45,0,4,0
423,3,1,21,0,0,0,45,0,4,1
424,2,0,43,0,0,7,85,1,6,1
425,1,0,56,0,0,17,85,1,4,1
426,1,0,31,0,0,3,45,0,5,0
427,1,0,31,0,0,6,45,0,5,0
428,2,0,29,0,0,2,190,1,3,0
429,2,1,25,0,0,5,6,1,9,1
430,2,0,23,0,0,1,45,0,2,0
431,2,0,24,0,0,2,313,1,6,1
432,3,0,36,0,0,1,243,0,10,1
433,2,0,49,0,0,29,172,1,6,1
434,3,0,23,0,0,0,283,0,7,0
435,2,0,40,0,0,0,18,1,1,0
436,2,0,31,0,0,5,97,1,4,0
437,1,0,23,0,0,0,45,0,9,0
438,1,1,54,0,0,1,337,0,2,0
439,2,0,34,0,0,3,21,1,1,0
440,2,1,38,0,0,0,426,0,4,0
441,4,0,35,0,0,0,64,1,6,0
442,2,0,21,0,2,2,190,1,10,1
443,2,0,29,0,0,0,45,0,3,0
444,2,0,31,1,1,12,337,0,8,1
445,1,0,58,0,0,0,45,0,1,0
446,1,0,54,0,0,2,45,0,1,0
447,2,1,24,0,0,0,167,1,3,0
448,1,0,35,0,0,2,74,1,1,0
449,2,0,31,0,3,25,337,0,8,1
450,1,0,39,0,0,0,306,1,3,0
451,1,1,37,0,0,1,128,0,3,0
452,2,1,24,0,0,3,190,1,10,1
453,2,0,51,0,0,11,243,0,5,1
454,2,0,61,0,0,5,306,1,2,0
455,3,0,29,0,0,0,122,0,2,1
456,2,1,29,0,0,0,190,1,2,0
457,3,0,31,0,0,5,89,1,6,1
458,1,0,54,0,0,0,45,0,1,0
459,3,0,27,0,0,1,239,0,2,0
460,2,1,30,0,0,0,45,0,3,0
461,1,0,20,0,0,0,190,1,4,0
462,1,0,57,0,0,9,306,1,4,1
463,2,1,30,0,0,3,172,1,6,1
464,2,0,32,0,0,10,172,1,6,1
465,2,1,50,0,0,7,45,0,4,0
466,2,0,23,0,0,2,45,0,7,0
467,3,0,21,0,1,2,61,1,7,1
468,2,0,28,0,0,0,236,1,4,0
469,2,0,30,0,2,11,372,1,8,0
470,2,0,45,0,0,0,199,0,1,0
471,1,0,25,0,0,3,127,0,9,1
472,1,0,24,0,0,1,93,0,2,0
473,2,0,53,0,0,0,45,0,1,1
474,1,0,26,0,0,0,45,0,6,0
475,2,0,23,0,0,2,58,1,4,1
476,1,0,32,0,0,0,317,1,5,0
477,1,0,32,0,0,0,242,0,6,1
478,3,0,45,0,0,8,15,1,7,0
479,2,0,47,0,0,1,306,1,1,0
480,2,0,25,0,1,7,336,1,10,1
481,2,0,24,1,0,2,326,0,10,1
482,2,0,25,0,0,3,190,1,10,0
483,1,0,33,0,0,0,306,1,6,1
484,2,0,19,1,0,1,190,1,9,1
485,1,0,44,0,0,2,45,0,2,1
486,1,1,21,0,0,0,283,0,5,0
487,1,0,30,0,0,0,130,0,1,0
488,4,0,38,0,0,0,45,0,1,0
489,1,0,24,0,1,3,133,0,5,0
490,2,0,34,0,0,2,303,1,2,0
491,1,0,21,0,0,0,45,0,4,1
492,1,0,37,0,0,0,134,0,4,0
493,2,0,22,0,0,0,45,0,8,0
494,2,0,51,0,0,4,374,0,2,0
495,2,0,25,0,1,11,190,1,9,1
496,2,0,20,0,0,0,190,1,9,1
497,1,1,34,0,0,12,306,1,10,1
498,2,0,34,0,0,2,71,1,3,1
499,2,0,34,0,0,0,45,0,1,1
500,1,1,44,0,0,10,171,1,5,1
501,2,0,19,0,0,0,336,1,4,1
502,2,0,29,0,0,0,122,0,2,1
503,2,0,21,0,0,0,306,1,7,0
504,1,0,38,0,0,3,306,1,9,1
505,1,0,22,0,0,0,58,1,4,1
506,2,1,26,0,0,1,45,0,4,0
507,2,0,22,0,0,3,167,1,6,1
508,2,1,42,0,0,2,66,1,2,0
509,3,0,54,0,0,2,65,1,1,0
510,3,0,44,0,0,0,45,0,1,0
511,1,0,24,0,0,3,21,1,5,1
512,1,0,23,0,0,0,45,0,4,0
513,1,0,25,0,0,0,45,0,2,0
514,1,0,22,0,0,1,186,1,4,0
515,2,0,30,0,0,13,168,1,10,1
516,2,0,43,0,1,23,114,1,7,0
517,2,1,24,0,0,2,57,1,5,1
518,2,0,49,0,0,11,426,0,5,1
519,2,0,20,0,0,0,186,1,10,1
520,2,0,26,0,0,6,55,1,7,1
521,1,0,33,0,0,0,283,0,7,1
522,1,1,31,0,0,0,45,0,3,0
523,1,0,21,0,0,1,56,1,4,0
524,1,1,41,0,0,1,45,0,2,0
525,2,0,57,0,0,1,175,1,5,1
526,2,0,47,0,0,4,306,1,3,0
527,2,0,37,0,0,1,175,1,10,0
528,1,1,27,0,0,0,303,1,3,0
529,2,0,62,0,0,0,133,0,1,0
530,5,0,27,0,0,3,133,0,7,0
531,2,0,22,0,0,0,35,1,7,0
532,3,0,57,0,0,1,129,1,1,0
533,1,1,55,0,0,0,47,1,1,0
534,1,0,38,0,0,5,129,1,4,0
535,3,0,28,0,0,1,344,1,3,0
536,1,0,44,0,0,2,45,0,4,0
537,3,1,25,0,1,14,65,1,6,0
538,1,0,39,0,0,10,190,1,8,1
539,2,1,31,0,0,4,10,1,8,0
540,1,0,61,0,0,4,418,1,6,0
541,2,1,36,0,0,7,92,1,3,1
542,2,0,35,0,1,14,45,0,8,1
543,2,0,52,0,0,0,367,1,1,0
544,1,0,41,0,0,1,10,1,1,1
545,2,0,22,0,0,0,45,0,7,1
546,2,0,52,0,0,7,190,0,3,1
547,2,1,37,0,0,1,66,1,1,0
548,1,1,22,0,0,1,425,0,8,0
549,1,0,45,0,0,2,306,1,1,0
550,1,0,22,0,0,1,367,1,6,0
551,2,0,29,1,0,2,21,1,5,0
552,2,0,29,0,0,10,110,1,7,1
553,2,0,26,0,0,2,45,0,7,0
554,2,0,37,2,3,24,66,1,8,0
555,2,0,30,0,0,0,127,0,9,0
556,1,1,49,0,0,1,208,0,1,0
557,1,0,26,0,0,3,243,0,4,0
558,2,0,34,0,0,9,246,1,10,1
559,1,1,59,0,0,1,189,1,1,0
560,1,1,38,0,0,0,74,1,1,0
561,2,0,27,1,0,6,203,1,7,1
562,2,0,23,0,0,1,190,1,3,1
563,1,1,40,0,0,0,306,1,2,0
564,1,1,52,0,0,3,128,0,1,0
565,2,0,27,0,0,8,93,0,8,0
566,2,0,30,0,0,5,129,1,6,1
567,1,0,29,4,1,10,58,1,9,1
568,2,0,25,0,0,2,246,1,5,0
569,1,0,43,0,0,1,306,1,1,0
570,2,0,35,0,0,4,45,0,5,0
571,2,0,22,0,1,1,49,1,8,1
572,1,0,43,0,0,9,312,1,6,0
573,1,0,57,0,0,0,328,0,1,0
574,3,0,30,0,0,1,129,1,2,1
575,1,0,38,0,0,17,175,1,10,0
576,2,1,20,0,0,0,190,1,5,0
577,2,0,32,0,1,12,45,0,10,1
578,2,0,24,0,0,0,292,1,3,1
579,1,1,25,0,0,0,313,1,4,1
580,2,0,27,0,0,2,6,1,5,0
581,1,0,47,0,0,0,45,0,2,0
582,2,0,31,0,0,1,215,0,2,0
583,1,0,37,0,0,1,306,1,7,1
584,1,0,59,0,0,0,297,1,1,0
585,1,0,22,0,0,0,45,0,4,0
586,2,0,30,0,0,2,306,1,5,1
587,2,0,31,0,0,0,112,1,6,0
588,2,1,23,0,0,0,292,1,5,1
589,3,0,37,0,0,1,190,1,5,0
590,1,0,20,0,0,0,209,1,7,1
591,1,1,55,0,0,0,45,0,1,0
592,2,1,31,0,0,2,15,1,2,1
593,2,0,20,0,0,0,65,1,4,0
594,3,0,31,1,0,7,374,0,9,1
595,2,1,26,0,0,0,45,0,2,0
596,2,0,38,0,1,16,260,1,9,1
597,2,0,55,0,0,10,45,0,7,1
598,1,0,39,0,0,1,224,1,1,0
599,3,0,51,0,0,1,31,0,1,0
600,2,0,28,0,0,8,45,0,6,1
601,1,0,21,0,0,1,58,1,6,1
602,2,0,32,0,0,3,306,1,7,1
603,3,1,29,0,0,0,122,0,3,0
604,3,0,39,0,0,1,45,0,2,0
605,1,0,47,0,0,2,377,1,4,0
606,2,1,41,0,0,0,18,1,1,0
607,1,0,52,0,0,4,426,0,3,1
608,1,0,50,0,0,0,128,0,1,0
609,2,0,21,0,0,0,18,1,8,1
610,1,0,23,0,0,0,15,1,3,1
611,1,0,24,0,0,0,303,1,2,0
612,2,1,26,0,0,1,10,1,3,1
613,1,0,47,0,0,2,306,1,4,0
614,2,0,27,0,0,0,74,0,1,1
615,2,1,51,0,0,3,379,0,2,0
616,2,0,27,0,0,3,207,0,7,0
617,1,0,53,0,0,1,45,0,5,0
618,1,1,28,0,0,1,45,0,4,0
619,1,0,31,0,0,4,175,1,7,1
620,1,0,32,0,0,4,45,0,2,1
621,2,0,22,0,0,2,89,1,4,1
622,1,0,22,0,0,1,430,0,8,1
623,3,0,34,0,0,2,416,1,3,1
624,2,1,43,0,0,0,190,1,6,0
625,2,1,29,0,0,3,306,1,5,0
626,1,0,30,0,0,1,310,1,8,0
627,2,0,37,0,0,14,129,1,8,0
628,2,0,40,0,0,21,168,1,5,0
629,2,0,60,0,0,19,306,1,8,1
